modelo,umbral,hectareas
CART,0.5,3733479.366960002
CART,0.62,2444993.764185001
GLM,0.5,3437158.734660002
GLM,0.62,2999119.1995800016
RF,0.5,4017623.9764500023
RF,0.62,3586184.624610002
XGB_smooth_5x5_gauss,0.5,4105917.0968550025
XGB_smooth_5x5_gauss,0.62,3383108.043210002
XGB_smooth_5x5_mean,0.5,4137804.384210003
XGB_smooth_5x5_mean,0.62,3391063.0342050022
XGB,0.5,4026079.792350002
XGB,0.62,3382944.0094800023
