algoritmo,cutoff,accuracy,f1,kappa,precision,recall,specificity
XGB,0.01,0.5,0.6666666666604677,0,0.5,1,0
XGB,0.02,0.6510405791512013,0.7410546431749976,0.30208121792087955,0.5891175845719999,0.9986171967901574,0.3034640047068077
XGB,0.03,0.7112273021158996,0.7753833713962317,0.4224546120581255,0.6344340628445099,0.9968498261544588,0.4256047851664155
XGB,0.04,0.7442898022510798,0.7955515423079471,0.48857960549907287,0.6627039349083425,0.9950169981932246,0.49356260766829757
XGB,0.05,0.7659891762006439,0.8093324376269281,0.53197835811496,0.6828585828204534,0.9933069053430136,0.5386714543193334
XGB,0.060000000000000005,0.7813043349969128,0.8193248180813093,0.5626086731755063,0.6979828078726438,0.9917359095292408,0.5708727646724269
XGB,0.06999999999999999,0.7944389200399663,0.8280834043475023,0.5888778425018855,0.7116161221383183,0.9901362757432688,0.5987415671229659
XGB,0.08,0.8046463002346468,0.8349732922008704,0.6092926048144184,0.7227712613158473,0.9884139080178758,0.6208786977909805
XGB,0.09,0.8144568415385164,0.8417139104418713,0.6289136885624826,0.7339031799313345,0.9866547199349163,0.6422589703235541
XGB,0.09999999999999999,0.823189366248666,0.847781450096848,0.6463787424359114,0.7442691326340529,0.9847400700447838,0.6616386776267377
XGB,0.11,0.8308725156219977,0.8531955028391877,0.6617450381542211,0.7537168695256332,0.9829276990930413,0.678817344354948
XGB,0.12,0.8374326492153603,0.8578673050394043,0.6748653022398535,0.7620774192927807,0.9812012403004935,0.693664065815732
XGB,0.13,0.8430211389822103,0.8618661844869233,0.6860422807081712,0.769491191139146,0.9794461437868041,0.7065961401480171
XGB,0.14,0.8478159487706621,0.8653320503247649,0.6956319001648982,0.7760156992927326,0.9778833302747126,0.7177485731537149
XGB,0.15000000000000002,0.8519991326381954,0.8683452910729409,0.70399826739751,0.7819799804832108,0.9761568704779344,0.7278413994306371
XGB,0.16,0.8559082122029047,0.8711834606794139,0.7118164265996921,0.7876827049316987,0.9744876875460993,0.7373287414921991
XGB,0.17,0.8594347689547889,0.8737588742052417,0.7188695385828201,0.7929546200722427,0.9729003276310787,0.7459692124007243
XGB,0.18000000000000002,0.8626299447899586,0.8760743973249616,0.7252598896075765,0.7979774476763023,0.97111659490259306,0.7541432962976995
XGB,0.19,0.8656164729155699,0.8782678388435007,0.731232946013089,0.8027012327810553,0.9695415075195503,0.761691440057739
XGB,0.2,0.8682757104175186,0.8802222447130995,0.7365514209582721,0.8070329091236533,0.9680114232978706,0.7685399991161601
XGB,0.21000000000000002,0.8708367601109946,0.8821100945523862,0.7416735199583295,0.8113017758602958,0.9664608830709297,0.775212637935257
XGB,0.22,0.8731257483990922,0.8837742297109112,0.7462514960116314,0.8153448670836811,0.9647426049063461,0.7815088904585772
XGB,0.23,0.8753738260993363,0.8854165136385627,0.7507476509519426,0.8193907987099286,0.9630161460301123,0.7877315035220522
XGB,0.24000000000000002,0.8774071195520561,0.8868984500188533,0.7548142368405525,0.8231705561236847,0.9613224165279762,0.7934918173773833
XGB,0.25,0.8792604030372775,0.888249693479993,0.7585208035860274,0.826703086296966,0.9596982357532738,0.7988225642439872
XGB,0.26,0.8808313983279458,0.8893710052159769,0.7616627950969723,0.8299022245267986,0.9580208707708149,0.8036419216908505
XGB,0.27,0.8824883075770527,0.8905686973724974,0.7649766138615975,0.8332719393388472,0.9563271418544798,0.8086494703189844
XGB,0.28,0.8839140677451338,0.8915798858175044,0.7678281341266697,0.8363524948589364,0.9546170480837243,0.8132110841749653
XGB,0.29000000000000004,0.8852334583051812,0.8925129336177376,0.7704669154710216,0.8392803398533804,0.9529560471188271,0.8175108667203438
XGB,0.3,0.8866244434609777,0.8935060538942291,0.7732488854421103,0.8423781032385333,0.9512418624482883,0.8220070207402134
XGB,0.31,0.8877085941448271,0.8942425914846088,0.775417186855001,0.8450704110545587,0.9494908560812092,0.8259263286006079
XGB,0.32,0.888917524531807,0.8950898829795902,0.7778350473686652,0.8479722574763731,0.947752122748223,0.8300829213686759
XGB,0.33,0.8900364496839774,0.8958648783631482,0.7800728969886656,0.8507726915780229,0.9460052075319845,0.8340676838766582
XGB,0.34,0.8911656024831112,0.8966535860806533,0.7823312025275748,0.8536123873012581,0.944266476207459,0.8380647207577072
XGB,0.35000000000000003,0.8919695103595329,0.8971613737077075,0.7839390185124734,0.8560230226922296,0.9424541034983134,0.8414849098892498
XGB,0.36000000000000004,0.8927488711844583,0.8976376071131255,0.7854977407083391,0.8585066559779503,0.9405067244014551,0.8449910123515891
XGB,0.37,0.8935159593937289,0.8981101811568051,0.787031916858011,0.860966338362249,0.9386043473780438,0.8484275647475209
XGB,0.38,0.8942584999866179,0.898557652782258,0.7885169980657605,0.8634547740373137,0.9366365116901231,0.8518804815794437
XGB,0.39,0.8947944392822361,0.8988049408077351,0.7895888765358643,0.8658033211854158,0.9344232085417901,0.8551656625658705
XGB,0.4,0.8953896991561959,0.8991283714966712,0.7907793965813917,0.8681056696098235,0.9324512827072591,0.8583281092781329
XGB,0.41000000000000003,0.8959133641833464,0.8993741438388241,0.7918267265855439,0.8704358015927292,0.9303034376376342,0.8615232843602624
XGB,0.42000000000000004,0.8966415862922565,0.8997939486427391,0.7932831710210677,0.8731653782693383,0.928098316539925,0.8651848504708637
XGB,0.43,0.897157069122334,0.9000175528906582,0.7943141367258354,0.875662982973932,0.9257663687619228,0.8685477637416936
XGB,0.44,0.8978075592815835,0.9003268232573467,0.7956151163123939,0.8786678508615284,0.9230825811747589,0.8725325275886497
XGB,0.45,0.8984621404870653,0.9005433132504114,0.7969242785604127,0.8824576421516389,0.91938828569006,0.8775359844801418
XGB,0.46,0.8990655824116464,0.9006808148648981,0.7981311625530539,0.8864951820937528,0.9153298802911121,0.882801274272268
XGB,0.47000000000000003,0.899669023645812,0.9008561232027852,0.7993380448987332,0.8903225312546903,0.9116437672754665,0.8876942685847147
XGB,0.48000000000000004,0.9001681419562133,0.9009155276156068,0.8003362811881866,0.8942219167293166,0.9077121863809791,0.8926240840079008
XGB,0.49,0.9003849722603566,0.900698518511999,0.8007699416164418,0.8978704796979934,0.90354740988857,0.8972225199788515
XGB,0.5,0.9005363437953797,0.9004418806895262,0.8010726847782815,0.9012968534107919,0.899591283344326,0.9014813900115922
XGB,0.51,0.9007102170575387,0.9002300409452015,0.8014204314141925,0.9046037184383887,0.8959010807678711,0.9055193396563365
XGB,0.52,0.900759310239977,0.8999122208317757,0.8015186183365962,0.9076570732542554,0.8923008820035667,0.9092177277145358
XGB,0.53,0.9005997566124894,0.899385262540989,0.8011995110654329,0.9105086442007898,0.8885329478958813,0.9126665546509058
XGB,0.54,0.9004033820625497,0.8988211920092137,0.800806762150147,0.9133292309426432,0.8847691061106387,0.9160376481312706
XGB,0.55,0.9001865519885448,0.8982312478256826,0.8003731019121249,0.9161784508874161,0.8809766245957938,0.919396468912286
XGB,0.56,0.8997917585476243,0.8974680126750032,0.7995835150696464,0.9187732017705347,0.8771309592916214,0.9224525480458936
XGB,0.5700000000000001,0.8993212778746745,0.8966033579126481,0.7986425538403448,0.9214768995183661,0.8730398250206911,0.9256027218077489
XGB,0.5800000000000001,0.8987341999258059,0.8956336630555122,0.7974683982444519,0.9239197663521164,0.8690305144360623,0.928437878210156
XGB,0.59,0.8981655324067808,0.8947049978768208,0.7963310636138626,0.9261768972702941,0.8653034930920721,0.9310275664826636
XGB,0.6,0.8974414015114764,0.8936043939087581,0.7948828020335158,0.9283349606624082,0.8613800956708683,0.9335027034521752
XGB,0.61,0.8968338685615848,0.8926298585131388,0.7936677356631325,0.9305489885156588,0.8576817100395591,0.9359860213007086
XGB,0.62,0.896156786152009,0.8915577899910413,0.7923135706846036,0.9328708930415106,0.8537501297308727,0.9385634363717517
XGB,0.63,0.8953753799818016,0.8903910244212725,0.7907507584261781,0.934929669448568,0.8499044653472448,0.9408462885822619
XGB,0.64,0.8945755628587087,0.8891900005422848,0.7891511245453843,0.9370570605883868,0.8459769773610013,0.9431741443725649
XGB,0.65,0.8935016408888283,0.8876761223056474,0.7870032807878448,0.9390407543780827,0.8416403772196899,0.9453629010342829
XGB,0.66,0.8924399918275064,0.8861597671780881,0.7848799832807515,0.9411082809030451,0.8372751408635822,0.9476048401463545
XGB,0.67,0.8912637908773909,0.884523595436225,0.782527580788176,0.9429746486865072,0.8328976263685441,0.9496299501886422
XGB,0.68,0.8900016761780536,0.8827469049782495,0.7800033515581247,0.9450782029596786,0.828131457146359,0.9518718897191432
XGB,0.6900000000000001,0.8886618308471216,0.8808608300189992,0.7773236606083972,0.9472308307235847,0.82318527711981,0.9541383774099764
XGB,0.7000000000000001,0.8870396966730644,0.8786543122934736,0.7740793914919147,0.9491082923220435,0.8179404414081703,0.9561389428904239
XGB,0.7100000000000001,0.8853684694630207,0.8763558207779857,0.770736936195632,0.9511332846267232,0.8124828679449592,0.9582540598412391
XGB,0.72,0.8835295048383685,0.8738202343997102,0.767059006709089,0.9532856525148863,0.8065875438523656,0.9604714544751565
XGB,0.73,0.8817334977159775,0.8713333074550598,0.7634669929684189,0.9553407969859022,0.800909051340132,0.9625579346253745
XGB,0.74,0.8795733785453517,0.8683858070778105,0.7591467553001148,0.9573166076757984,0.7945759763670985,0.9645707739767736
