Etiqueta	ValorDesde	ValorHasta
1	NA	43.397260273972606
2	43.397260273972606	47.16712328767123
3	47.16712328767123	49.93890410958905
4	49.93890410958905	52
5	52	53.98082191780822
6	53.98082191780822	55.90684931506849
7	55.90684931506849	57.86027397260274
8	57.86027397260274	59.863013698630134
9	59.863013698630134	62.02465753424657
10	62.02465753424657	NA
