Etiqueta	ValorDesde	ValorHasta
1	NA	22.071077879374805
2	22.071077879374805	23.437499999999996
3	23.437499999999996	24.242424242424246
4	24.242424242424246	25.280109859242845
5	25.280109859242845	26.370238143535232
6	26.370238143535232	27.68166089965398
7	27.68166089965398	29.296874999999993
8	29.296874999999993	31.24523700655387
9	31.24523700655387	34.51676528599605
10	34.51676528599605	NA
